------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
60          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.389602145882357e-01  1.559455301971172e+01  5.200000000000000e+00        1
 1.983049231077154e+00  1.519258849238071e-02  0.000000000000000e+00  4.915711641099094e-01  1.559158458147224e+01  5.207016992417990e+00        2
 3.966098462154307e+00  3.402686439733910e-02  0.000000000000000e+00  5.960901928541072e-01  1.547828574567604e+01  5.227344797957124e+00        3
 5.949147693231462e+00  5.645408749090404e-02  0.000000000000000e+00  6.887674651526932e-01  1.519032785048175e+01  5.264581904645322e+00        4
 7.932196924308615e+00  8.170321707518217e-02  0.000000000000000e+00  7.550835542536362e-01  1.473076011544496e+01  5.316869714687599e+00        5
 9.915246155385770e+00  1.087205731363975e-01  0.000000000000000e+00  7.906272131039149e-01  1.412899701805921e+01  5.380214248880010e+00        6
 1.189829538646293e+01  1.364298634017715e-01  0.000000000000000e+00  7.902175377346859e-01  1.341366913150083e+01  5.450602191950782e+00        7
 1.388134461754008e+01  1.634188638274593e-01  0.000000000000000e+00  7.501010546857558e-01  1.260382191351727e+01  5.523636313469118e+00        8
 1.586439384861723e+01  1.883514828226976e-01  0.000000000000000e+00  6.917669921090192e-01  1.176293384800661e+01  5.593024199300461e+00        9
 1.784744307969439e+01  2.113028331226428e-01  0.000000000000000e+00  5.996295684179938e-01  1.090559236472264e+01  5.658268008373049e+00       10
 1.983049231077154e+01  2.298579692861472e-01  0.000000000000000e+00  4.524103908162500e-01  1.006213238996506e+01  5.711953098800804e+00       11
 2.181354154184869e+01  2.426190229971265e-01  0.000000000000000e+00  2.714641263934676e-01  9.275583774307544e+00  5.748592898907686e+00       12
 2.379659077292585e+01  2.486490466610543e-01  0.000000000000000e+00  1.087011231468192e-01  8.579539781801699e+00  5.764287057882662e+00       13
 2.577964000400300e+01  2.501434707380724e-01  0.000000000000000e+00  1.616049778175721e-02  7.975440811488634e+00  5.758773576941316e+00       14
 2.776268923508016e+01  2.497677001656360e-01  0.000000000000000e+00 -2.267083578458666e-02  7.428778675493190e+00  5.724177050914543e+00       15
 2.974573846615731e+01  2.485741620497379e-01  0.000000000000000e+00 -4.288307145448973e-02  6.898621045613074e+00  5.658365050214271e+00       16
 3.172878769723447e+01  2.467992709145737e-01  0.000000000000000e+00 -5.967429858359244e-02  6.373038618224150e+00  5.567289084032925e+00       17
 3.371183692831161e+01  2.444434197321506e-01  0.000000000000000e+00 -7.678517782247528e-02  5.862524708384814e+00  5.454759747366821e+00       18
 3.569488615938877e+01  2.414840891139749e-01  0.000000000000000e+00 -9.371915814545295e-02  5.375883945604469e+00  5.330392344933024e+00       19
 3.767793539046592e+01  2.379560441103429e-01  0.000000000000000e+00 -1.050533870180486e-01  4.916693548335011e+00  5.201060138515377e+00       20
 3.966098462154308e+01  2.342121426148522e-01  0.000000000000000e+00 -1.202825066775076e-01  4.489089793116440e+00  5.076258311127794e+00       21
 4.164403385262023e+01  2.296299175020021e-01  0.000000000000000e+00 -1.588269233935481e-01  4.092478890166657e+00  4.958893582410417e+00       22
 4.362708308369738e+01  2.232179225305328e-01  0.000000000000000e+00 -2.936301120763262e-01  3.727913402938968e+00  4.850372400899202e+00       23
 4.561013231477454e+01  2.093044965335387e-01  0.000000000000000e+00 -5.057168584110755e-01  3.405947623411396e+00  4.756471937641366e+00       24
 4.759318154585169e+01  1.882119093707412e-01  0.000000000000000e+00 -7.310358871099647e-01  3.101178102839972e+00  4.662270013690496e+00       25
 4.957623077692885e+01  1.587024859203636e-01  0.000000000000000e+00 -9.799757231228828e-01  2.812340282765014e+00  4.567953406558471e+00       26
 5.155928000800600e+01  1.203798501404398e-01  0.000000000000000e+00 -1.199896877371237e+00  2.538248669647947e+00  4.473817376534431e+00       27
 5.354232923908316e+01  7.564992336241511e-02  0.000000000000000e+00 -1.367969448434452e+00  2.280970096102547e+00  4.380632037093791e+00       28
 5.552537847016031e+01  2.569598118746416e-02  0.000000000000000e+00 -1.496261770648063e+00  2.037493824624681e+00  4.288919542171064e+00       29
 5.750842770123747e+01 -2.791175376140957e-02  0.000000000000000e+00 -1.572781266096126e+00  1.804981646715069e+00  4.198720796267200e+00       30
 5.949147693231461e+01 -8.316058842771473e-02  0.000000000000000e+00 -1.628555633004030e+00  1.581229534327560e+00  4.110537521835078e+00       31
 6.147452616339177e+01 -1.406276007397351e-01  0.000000000000000e+00 -1.743937179791746e+00  1.366278670299260e+00  4.024571932866714e+00       32
 6.345757539446893e+01 -2.038598564024229e-01  0.000000000000000e+00 -1.972701008316801e+00  1.162343123051949e+00  3.940946308482389e+00       33
 6.544062462554606e+01 -2.771538999273014e-01  0.000000000000000e+00 -2.262586127829669e+00  9.715702387142202e-01  3.859735244770620e+00       34
 6.742367385662322e+01 -3.604387062114066e-01  0.000000000000000e+00 -2.566152579083569e+00  7.921965372519457e-01  3.780547463245565e+00       35
 6.940672308770040e+01 -4.547273895947987e-01  0.000000000000000e+00 -2.818705630342595e+00  6.228238095373816e-01  3.703080403248769e+00       36
 7.138977231877753e+01 -5.554749782289520e-01  0.000000000000000e+00 -2.992788373535389e+00  4.571828917942077e-01  3.626461616072640e+00       37
 7.337282154985469e+01 -6.617984282251682e-01  0.000000000000000e+00 -3.134394492750709e+00  2.930931776627780e-01  3.550391604908319e+00       38
 7.535587078093184e+01 -7.723341900808538e-01  0.000000000000000e+00 -3.233635934629067e+00  1.282873234731204e-01  3.474470899305246e+00       39
 7.733892001200900e+01 -8.855166736985138e-01  0.000000000000000e+00 -3.298385189580028e+00 -4.134382350419585e-02  3.398239460089367e+00       40
 7.932196924308616e+01 -1.000527194579220e+00  0.000000000000000e+00 -3.334037199897419e+00 -2.220284416441451e-01  3.321510930437240e+00       41
 8.130501847416332e+01 -1.116173430457019e+00  0.000000000000000e+00 -3.429051924853932e+00 -4.191526611475360e-01  3.243928503239077e+00       42
